report_index,name,report_area,level,product,last_run_date,source_page
260,Special Claims Tracking,Affordable / HUD,Property,OneSite,,6
261,Special Claims Unpaid Rent/Damages,Affordable / HUD,Property,OneSite,,6
262,Special Claims Vacancy,Affordable / HUD,Property,OneSite,,6
263,Stand Alone Settings for Properties,Platform / Settings,Company,Unified Settings,,6
264,Summary Statistics,Affordable / Tax Credit,Property,OneSite,,6
265,Summary Statistics,Affordable / HUD,Property,OneSite,,6
266,Table Settings for Properties,Platform / Settings,Company,Unified Settings,,6
267,Tax Exemption 50%,Affordable / Tax Credit,Property,OneSite,,6
268,Technician Time Worked,Facilities / Management,Property,OneSite,,6
269,Technician Utilization Summary,Facilities / Management,Property,OneSite,,6
270,Template Settings,Platform / Settings,Company,Unified Settings,,6
271,Text Messaging,Residents / Management,Property,OneSite,,6
272,Threshold Distribution,Screening / Client Account Management,Company,LeasingDesk Screening,,6
273,Threshold Settings,Screening / Client Settings,Company,LeasingDesk Screening,,6
274,Tracking Attachable Documents,Documents / Management,Property,OneSite,,6
275,Transaction Audit,Accounts Receivable / Management,Property,OneSite,,6
276,Transaction Code View,Accounts Receivable / Management,Property,OneSite,,6
277,Transaction Detail by Code,Accounts Receivable / Management,Property,OneSite,08/03/2026 08:46 AM,6
278,Transaction Detail by Code (Excel),Accounts Receivable / Management,Property,OneSite,,6
279,Transaction Summary by Unit,Accounts Receivable / Management,Property,OneSite,,6
280,Unit Default,Affordable / Tax Credit,Property,OneSite,,6
281,Unit Income Information,Affordable / HUD,Property,OneSite,,6
282,Unit Leasing,Affordable / Tax Credit,Property,OneSite,,6
283,Unit Scheduled Transactions,Accounts Receivable / Management,Property,OneSite,,6
284,Unit Setup View,Property Information / Management,Property,OneSite,,6
285,Unit Turnover,Property Information / Management,Property,OneSite,03/02/2026 02:47 PM,6
286,Units Made Ready,Facilities / Management,Property,OneSite,,6
287,User Last Login Date by Product,Platform / Users,Company,Unified Platform,,6
288,User Properties Audit,Platform / Users,Company,Unified Platform,07/22/2026 06:45 AM,6
289,User Roles Audit,Platform / Users,Company,Unified Platform,07/22/2026 06:45 AM,6
290,Users Access Review,Platform / Users,Company,Unified Platform,,6
291,Utility Allowances,Affordable / Tax Credit,Property,OneSite,,6
292,Utility Allowances,Affordable / HUD,Property,OneSite,01/28/2026 02:08 PM,6
293,Verification Responses,Affordable / HUD,Property,OneSite,,6
294,Verification Responses,Affordable / Tax Credit,Property,OneSite,,6
295,Vermont LIHTC Compliance Monitoring Status,Affordable / Tax Credit Program Compliance,Property,OneSite,,6
296,Virtual Refunds,Accounts Receivable / Management,Property,OneSite,,6
297,Waiting List,Affordable / Waitlist,Property,OneSite,,6
298,Waitlist,Leads and Leasing / Prospect Management,Property,OneSite,,6
299,Waitlist Application Detail,Affordable / Waitlist,Property,OneSite,,6
300,Waitlist Demographics,Affordable / Waitlist,Property,OneSite,,6
301,Waitlist Income Targeting,Affordable / Waitlist,Property,OneSite,,7
302,Waived Late Fees,Accounts Receivable / Management,Property,OneSite,,7
303,Washington DC Building Status,Affordable / Tax Credit Program Compliance,Property,OneSite,,7
304,Weekly Activity Statistics,Property Information / Management,Property,OneSite,,7
305,Work Order Detail,Facilities / Management,Property,OneSite,,7
306,Work Order Estimated Labor Cost,Facilities / Management,Property,OneSite,,7
307,Work Order Status,Facilities / Management,Property,OneSite,,7
308,Worker Activity Detail,Facilities / Management,Property,OneSite,,7
309,Worker Hours Distribution,Facilities / Management,Property,OneSite,,7
