property,year,needed,next_action
Fairfax Senior Terrace Apartments,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Bayou Pointe Apartments,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Bayou Pointe Apartments,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Bayou Pointe Apartments,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Bayou Pointe Apartments,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Bayou Pointe Apartments,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Bayou Pointe Apartments,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Howell Place,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Howell Place,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Howell Place,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Howell Place,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Howell Place,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Howell Place,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite La Promesa,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite La Promesa,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite La Promesa,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite La Promesa,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite La Promesa,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite La Promesa,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pelican Bay,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pelican Bay,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pelican Bay,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pelican Bay,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pelican Bay,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pelican Bay,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pirates Bend,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pirates Bend,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pirates Bend,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pirates Bend,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pirates Bend,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Granite Pirates Bend,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Holiday Apartments,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Holiday Apartments,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Holiday Apartments,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Holiday Apartments,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Holiday Apartments,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Holiday Apartments,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Jefferson Arms Apartments,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Jefferson Arms Apartments,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Jefferson Arms Apartments,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Jefferson Arms Apartments,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Jefferson Arms Apartments,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Jefferson Arms Apartments,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Macedonia,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Macedonia,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Macedonia,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Macedonia,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Macedonia,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Macedonia,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Midtown Manor Apartments,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Midtown Manor Apartments,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Midtown Manor Apartments,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Midtown Manor Apartments,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
North Pointe Apartments,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
North Pointe Apartments,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Opa Locka,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Opa Locka,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Opa Locka,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Opa Locka,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Opa Locka,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Opa Locka,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
River Garden Estates,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
River Garden Estates,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
River Garden Estates,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
River Garden Estates,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
The Thibodaux Apartments,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
The Thibodaux Apartments,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
The Thibodaux Apartments,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
The Thibodaux Apartments,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
The Thibodaux Apartments,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
The Thibodaux Apartments,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Thomasville Church Homes,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Thomasville Church Homes,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Thomasville Church Homes,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Thomasville Church Homes,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Thomasville Church Homes,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Thomasville Church Homes,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Walnut Hill,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Walnut Hill,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Walnut Hill,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Walnut Hill,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Walnut Hill,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Walnut Hill,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
