property,year,status,next_action,source_path
Arbor Crest,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Arbor Crest Housing/2025 COMPLETED TAX RETURN PACKAGE/ARBORCREST_V1_ 2025 RETURN.pdf"
Boca Ciega,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Boca Ciega,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Boca Ciega,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Boca Ciega,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Boca Ciega,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Boca Ciega,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Breckenridge Village,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Breckenridge Housing LLC/2020 COMPLETED TAX RETURN PACKAGE/BRENCKENRIDG_V1_ 2020 SMLLC TEXAS RETURN.pdf"
Breckenridge Village,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Breckenridge Housing LLC/2021 COMPLETED TAX RETURN PACKAGE/BRENCKENRIDG_V1_ 2021 SMLLC TEXAS RETURN.pdf"
Breckenridge Village,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Breckenridge Housing LLC/2022 COMPLETED TAX RETURN PACKAGE/BRENCKENRIDG_V1_ 2022 TX SMLLC TAX RETURN.pdf"
Breckenridge Village,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Breckenridge Housing LLC/2023 COMPLETED TAX RETURN PACKAGE/BRENCKENRIDG_V1_ 2023 RETURN.pdf"
Breckenridge Village,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Breckenridge Village,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Columbia Village Townhomes,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Oak_Hills_Housing_LP_2020.pdf"
Columbia Village Townhomes,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Oak_Hills_Housing_LP_2021.pdf"
Columbia Village Townhomes,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2022 COMPLETED TAX RETURN PACKAGE/OAKHILLSHSG_V1_ 2022 RETURN.pdf"
Columbia Village Townhomes,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2023 COMPLETED TAX RETURN PACKAGE/OAKHILLSHSG_V1_ 2023 RETURN.pdf"
Columbia Village Townhomes,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2024 COMPLETED TAX RETURN PACKAGE/OAKHILLSHSG_V1_ 2024 RETURN.pdf"
Columbia Village Townhomes,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2025 COMPLETED TAX RETURN PACKAGE/OAKHILLSHSG_V1_ 2025 RETURN.pdf"
Cumberland Apartments,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Cumberland Apartments,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Cumberland Apartments,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Cumberland Apartments,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Cumberland Apartments,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Cumberland Apartments,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Fairfax Senior Terrace Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020-2021-Tax Returns/Fairfax Genesee Partners and Associates LP Tax Return - 2020/2020 Fairfax Federal Form 1065 Tax Return.pdf"
Fairfax Senior Terrace Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020-2021-Tax Returns/Fairfax Genesee Partners and Associates LP Tax Return - 2020/2020 Fairfax Federal Form 1065 Tax Return.pdf"
Fairfax Senior Terrace Apartments,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Fairfax Senior Terrace Apartments,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Fairfax Senior Terrace Apartments,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Fairfax Senior Terrace Apartments,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Forest View,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Oak_Hills_Housing_LP_2020.pdf"
Forest View,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Oak_Hills_Housing_LP_2021.pdf"
Forest View,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2022 COMPLETED TAX RETURN PACKAGE/OAKHILLSHSG_V1_ 2022 RETURN.pdf"
Forest View,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2023 TAX RETURN/Forest View Operating Dec 2023 Bank Rec.pdf"
Forest View,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2024 TAX RETURN/Forest View EH Op Dec 2024 Bank Rec.pdf"
Forest View,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2025 TAX RETURN/Forest View Gen Dec 2025 Bank Rec.pdf"
Grace Townhomes,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Grace Townhomes Housing LP/2021 COMPLETED TAX RETURN PACKAGE/2021 GRACE TOWNHOMES HOUSING LLC - The Gerald Gilberg 2020 Fam Trst.pdf"
Grace Townhomes,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Grace Townhomes Housing LP/2021 COMPLETED TAX RETURN PACKAGE/2021 GRACE TOWNHOMES HOUSING LLC - Expressway Realty Co LP.pdf"
Grace Townhomes,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/GRACE TOWN HOMES MT LLC/2022 COMPLETED TAX RETURN PACKAGE/GRACETWMMT_V1_ 2022 RETURN.pdf"
Grace Townhomes,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/GRACE TOWN HOMES MT LLC/2023 COMPLETED TAX RETURN PACKAGE/GRACETWMMT_V1_ 2023 RETURN.pdf"
Grace Townhomes,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/GRACE TOWN HOMES MT LLC/2024 COMPLETED TAX RETURN PACKAGE/GRACETWMMT_V1_ 2024 RETURN.pdf"
Grace Townhomes,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/GRACE TOWN HOMES MT LLC/2025 COMPLETED TAX RETURN PACKAGE/GRACETWNHMMT_V1_ 2025 RETURN.pdf"
Granite Ridge Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Granite_Ridge_Housing_LP_2020.pdf"
Granite Ridge Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Granite_Ridge_Housing_LP_2021.pdf"
Granite Ridge Apartments,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Granite Ridge Housing LP/2022 COMPLETED TAX RETURN PACKAGE/GRANITERHLP_V1_ 2022 RETURN.pdf"
Granite Ridge Apartments,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Granite Ridge Housing LP/2023 COMPLETED TAX RETURN PACKAGE/GRANITERHLP_V1_ 2023 RETURN.pdf"
Granite Ridge Apartments,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Granite Ridge Housing LP/2024 COMPLETED TAX RETURN PACKAGE/GRANITERHLP_V1_ 2024 RETURN.pdf"
Granite Ridge Apartments,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Granite Ridge Housing LP/2025 COMPLETED TAX RETURN PACKAGE/GRANITERHLP_V1_ 2025 RETURN.pdf"
Grove Park Terrace,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Grove_Park_Housing_LP_2020.pdf"
Grove Park Terrace,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Grove_Park_Housing_LP_2021.pdf"
Grove Park Terrace,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/GROVE PARK HOUSING LP/2022 COMPLETED TAX RETURN PACKAGE/GROVEPARKHSG_V1_ 2022 RETURN.pdf"
Grove Park Terrace,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/GROVE PARK HOUSING LP/2023 COMPLETED TAX RETURN PACKAGE/GROVEPARKHSG_V1_ 2023 RETURN.pdf"
Grove Park Terrace,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/GROVE PARK HOUSING LP/2024 COMPLETED TAX RETURN PACKAGE/GROVEPARKHSG_V1_ 2024 RETURN.pdf"
Grove Park Terrace,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/GROVE PARK HOUSING LP/2025 TAX RETURN/14133898_940_or_940-EZ_-_Employer_s_Annual_Federal_Unemployment_FUTA_Tax_Return_Mon_Jan_26_22_00_00_EST_2026.pdf"
Holiday Apartments,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Holiday Apartments,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Holiday Apartments,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Holiday Apartments,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Holiday Apartments,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Holiday Apartments,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Jefferson Arms Apartments,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Jefferson Arms Apartments,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Jefferson Arms Apartments,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Jefferson Arms Apartments,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Jefferson Arms Apartments,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Jefferson Arms Apartments,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Lexington Arms Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Lexington_Housing_LLC_2020.pdf"
Lexington Arms Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Lexington_Housing_LLC_2021.pdf"
Lexington Arms Apartments,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Lexington Housing LLC/2022 COMPLETED TAX RETURN PACKAGE/LEXINGTONHSG_V1_ 2022 RETURN.pdf"
Lexington Arms Apartments,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Lexington Housing LLC/2023 COMPLETED TAX RETURN PACKAGE/LEXINGTONHSG_V1_ 2023 RETURN.pdf"
Lexington Arms Apartments,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Lexington Housing LLC/2024 COMPLETED TAX RETURN PACKAGE/LEXINGTONHSG_V1_ 2024 RETURN.pdf"
Lexington Arms Apartments,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Lexington Housing LLC/2025 COMPLETED TAX RETURN PACKAGE/LEXINGTONHSG_V1_ 2025 RETURN.pdf"
Macedonia,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Macedonia,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Macedonia,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Macedonia,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Macedonia,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Macedonia,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Marrero 3,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Marrero_3_LP_2020.pdf"
Marrero 3,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Marrero_3_LP_2021.pdf"
Marrero 3,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Marrero 3 LP/2022 COMPLETED TAX RETURN PACKAGE/MARRERO3LP_V1_ 2022 RETURN.pdf"
Marrero 3,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/MT Marrero 3 LLC/2023 COMPLETED TAX RETURN PACKAGE/MTMARERRO3_V1_ 2023 RETURN.pdf"
Marrero 3,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/MT Marrero 3 LLC/2024 COMPLETED TAX RETURN PACKAGE/MTMARERRO3_V1_ 2024 RETURN.pdf"
Marrero 3,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/MT Marrero 3 LLC/2025 COMPLETED TAX RETURN PACKAGE/E-Filing - NY IT-204-LL _Sign and return to SAC_.pdf"
Midtown Manor Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020-2021-Tax Returns/Midtown Manor Associates LP Tax Return - 2020/2020 Midtown Manor Federal Form 1065 Tax Return.pdf"
Midtown Manor Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020-2021-Tax Returns/Midtown Manor Associates LP Tax Return - 2020/2020 Midtown Manor Federal Form 1065 Tax Return.pdf"
Midtown Manor Apartments,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Midtown Manor Apartments,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Midtown Manor Apartments,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Midtown Manor Apartments,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Oak Hills Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Oak_Hills_Housing_LP_2020.pdf"
Oak Hills Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Oak_Hills_Housing_LP_2021.pdf"
Oak Hills Apartments,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2022 COMPLETED TAX RETURN PACKAGE/OAKHILLSHSG_V1_ 2022 RETURN.pdf"
Oak Hills Apartments,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2023 COMPLETED TAX RETURN PACKAGE/OAKHILLSHSG_V1_ 2023 RETURN.pdf"
Oak Hills Apartments,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2024 COMPLETED TAX RETURN PACKAGE/OAKHILLSHSG_V1_ 2024 RETURN.pdf"
Oak Hills Apartments,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Oak Hills Housing LP/2025 COMPLETED TAX RETURN PACKAGE/OAKHILLSHSG_V1_ 2025 RETURN.pdf"
Opa Locka,2020,Complete original source not identified,Locate or upload the complete original return for this property-year,
Opa Locka,2021,Complete original source not identified,Locate or upload the complete original return for this property-year,
Opa Locka,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Opa Locka,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Opa Locka,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Opa Locka,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Pacific Pointe Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Pacific_Pointe_Housing_LP_2020.pdf"
Pacific Pointe Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Pacific_Pointe_Housing_LP_2021.pdf"
Pacific Pointe Apartments,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Pacific Pointe Housing LP/2022 COMPLETED TAX RETURN PACKAGE/PACIFICPOINT_V1_ 2022 RETURN.pdf"
Pacific Pointe Apartments,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Pacific Pointe Housing LP/2023 COMPLETED TAX RETURN PACKAGE/PACIFICPOINT_V1_ 2023 RETURN.pdf"
Pacific Pointe Apartments,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Pacific Pointe Housing LP/2024 COMPLETED TAX RETURN PACKAGE/PACIFICPOINT_V1_ 2024 RETURN.pdf"
Pacific Pointe Apartments,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Pacific Pointe Housing LP/2025 COMPLETED TAX RETURN PACKAGE/PACIFICPOINT_V1_ 2025 RETURN.pdf"
River Pointe Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/River_Pointe_Housing_LLC_2020.pdf"
River Pointe Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/River_Pointe_Housing_LLC_2021.pdf"
River Pointe Apartments,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/River Pointe Housing LLC/2022 COMPLETED TAX RETURN PACKAGE/RIVERPOINTE_V1_ 2022 RETURN.pdf"
River Pointe Apartments,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/River Pointe Housing LLC/2023 COMPLETED TAX RETURN PACKAGE/RIVERPOINTE_V1_ 2023 RETURN.pdf"
River Pointe Apartments,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/River Pointe Housing LLC/2024 COMPLETED TAX RETURN PACKAGE/RIVERPOINTE_V1_ 2024 RETURN.pdf"
River Pointe Apartments,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/River Pointe Housing LLC/2024 COMPLETED TAX RETURN PACKAGE/2025 2nd Quarter Estimates due 7_15_25.pdf"
Ruby Diamond Homes,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Ruby_Diamond_Housing_LP_2020.pdf"
Ruby Diamond Homes,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Ruby_Diamond_Housing_LP_2021.pdf"
Ruby Diamond Homes,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Ruby Diamond Housing LP/2022 COMPLETED TAX RETURN/RUBYDIAMOND_V1_ 2022 RETURN.pdf"
Ruby Diamond Homes,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Ruby Diamond Housing LP/2023 COMPLETED TAX RETURN PACKAGE/RUBYDIAMOND_V1_ 2023 RETURN.pdf"
Ruby Diamond Homes,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Ruby Diamond Housing LP/2024 COMPLETED TAX RETURN PACKAGE/RUBYDIAMOND_V1_ 2024 RETURN.pdf"
Ruby Diamond Homes,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Ruby Diamond Housing LP/2025 COMPLETED TAX RETURN PACKAGE/RUBYDIAMOND_V1_ 2025 RETURN.pdf"
Silver Springs,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Silver_Springs_Housing_LP_2020.pdf"
Silver Springs,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Silver_Springs_Housing_LP_2021.pdf"
Silver Springs,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/MT Silver Springs LLC/2022 COMPLETED TAX RETURN PACKAGE/MTSILVER_V1_ 2022 RETURN.pdf"
Silver Springs,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/MT Silver Springs LLC/2023 COMPLETED TAX RETURN PACKAGE/MTSILVER_V1_ 2023 RETURN.pdf"
Silver Springs,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/MT Silver Springs LLC/2024 COMPLETED TAX RETURN PACKAGE/MTSILVER_V1_ 2024 RETURN.pdf"
Silver Springs,2025,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/MT Silver Springs LLC/2025 COMPLETED TAX RETURN PACKAGE/E-Filing - NY IT-204-LL _Sign and return to SAC_.pdf"
St. Charles Place,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/St_Charles_Housing_LP_2020.pdf"
St. Charles Place,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/St_Charles_Housing_LP_2021.pdf"
