Subject,File Name,Pass,Exposed Financial Figure,Check Summary,Error
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Wilmington_Arms_Housing_LP_2020.pdf,Wilmington_Arms_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Windsor_Housing_LP_2020.pdf,Windsor_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Arbor_Crest_Housing_LP_2021.pdf,Arbor_Crest_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Coral_Village_Housing_LP_2021.pdf,Coral_Village_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Gates_on_Manhattan_LP_2021.pdf,Gates_on_Manhattan_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Grace_Townhomes_Housing_LP_2021.pdf,Grace_Townhomes_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Granite_Ridge_Housing_LP_2021.pdf,Granite_Ridge_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Grove_Park_Housing_LP_2021.pdf,Grove_Park_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Lexington_Housing_LLC_2021.pdf,Lexington_Housing_LLC_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Marrero_3_LP_2021.pdf,Marrero_3_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Oak_Hills_Housing_LP_2021.pdf,Oak_Hills_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Pacific_Pointe_Housing_LP_2021.pdf,Pacific_Pointe_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/River_Pointe_Housing_LLC_2021.pdf,River_Pointe_Housing_LLC_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Riverchase_Housing_LP_2021.pdf,Riverchase_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Ruby_Diamond_Housing_LP_2021.pdf,Ruby_Diamond_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Silver_Springs_Housing_LP_2021.pdf,Silver_Springs_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/St_Charles_Housing_LP_2021.pdf,St_Charles_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Star_Homes_I_LP_2021.pdf,Star_Homes_I_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Village_Green_Housing_LP_2021.pdf,Village_Green_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Wilmington_Arms_Housing_LP_2021.pdf,Wilmington_Arms_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2021 Form 1065 Only/Windsor_Housing_LP_2021.pdf,Windsor_Housing_LP_2021.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
